vars,cores,time 1,impl,vars,cores,time 2,impl,vars,cores,time 4,impl,vars,cores,time 8,impl,vars,cores,time 10,impl,vars,cores,time 12,impl,vars,cores,time 14,impl
900,1,0.83,1,900,2,0.62,1,900,4,0.55,1,900,8,0.53,1,900,10,0.53,1,900,12,0.53,1,900,14,0.53,1
1000,1,1.05,1,1000,2,0.78,1,1000,4,0.7,1,1000,8,0.68,1,1000,10,0.68,1,1000,12,0.67,1,1000,14,0.67,1
1100,1,1.3,1,1100,2,0.97,1,1100,4,0.87,1,1100,8,0.85,1,1100,10,0.84,1,1100,12,0.84,1,1100,14,0.84,1
1200,1,1.57,1,1200,2,1.18,1,1200,4,1.06,1,1200,8,1.03,1,1200,10,1.02,1,1200,12,1.02,1,1200,14,1.02,1
1300,1,1.88,1,1300,2,1.41,1,1300,4,1.27,1,1300,8,1.23,1,1300,10,1.23,1,1300,12,1.23,1,1300,14,1.23,1
1400,1,2.21,1,1400,2,1.66,1,1400,4,1.49,1,1400,8,1.45,1,1400,10,1.44,1,1400,12,1.44,1,1400,14,1.44,1
1500,1,2.54,1,1500,2,1.91,1,1500,4,1.72,1,1500,8,1.67,1,1500,10,1.66,1,1500,12,1.66,1,1500,14,1.66,1
1800,1,3.79,1,1800,2,2.85,1,1800,4,2.57,1,1800,8,2.49,1,1800,10,2.48,1,1800,12,2.48,1,1800,14,2.48,1
2300,1,7.9,1,2300,2,5.95,1,2300,4,5.35,1,2300,8,5.2,1,2300,10,5.18,1,2300,12,5.18,1,2300,14,5.17,1
2500,1,9.42,1,2500,2,7.09,1,2500,4,6.38,1,2500,8,6.2,1,2500,10,6.19,1,2500,12,6.17,1,2500,14,6.17,1
3000,1,14.12,1,3000,2,10.62,1,3000,4,9.57,1,3000,8,9.29,1,3000,10,9.27,1,3000,12,9.26,1,3000,14,9.25,1
3200,1,18.91,1,3200,2,14.23,1,3200,4,12.81,1,3200,8,12.45,1,3200,10,12.41,1,3200,12,12.39,1,3200,14,12.39,1
3600,1,24.57,1,3600,2,18.49,1,3600,4,16.66,1,3600,8,16.18,1,3600,10,16.13,1,3600,12,16.12,1,3600,14,16.11,1
3800,1,27.45,1,3800,2,20.66,1,3800,4,18.63,1,3800,8,18.07,1,3800,10,18.03,1,3800,12,18.02,1,3800,14,18.02,1
4200,1,39.87,1,4200,2,29.98,1,4200,4,26.99,1,4200,8,26.21,1,4200,10,26.13,1,4200,12,26.12,1,4200,14,26.1,1
4500,1,46.38,1,4500,2,34.89,1,4500,4,31.41,1,4500,8,30.51,1,4500,10,30.44,1,4500,12,30.41,1,4500,14,30.4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
cores,Time 0,impl,,cores,Time 1,impl,,,,,,,,,,,,,,,,,,,,,
1,58.97,1,5000,1,59.01,0,,,,,,,,,,,,,,,,,,,,,
2,44.37,1,5000,2,44.37,0,,,,,,,,,,,,,,,,,,,,,
3,41.14,1,5000,3,41.14,0,,,,,,,,,,,,,,,,,,,,,
4,39.97,1,5000,4,40.76,0,,,,,,,,,,,,,,,,,,,,,
5,39.41,1,5000,5,39.65,0,,,,,,,,,,,,,,,,,,,,,
6,39.09,1,5000,6,39.57,0,,,,,,,,,,,,,,,,,,,,,
7,38.89,1,5000,7,39.89,0,,,,,,,,,,,,,,,,,,,,,
8,38.81,1,5000,8,39.89,0,,,,,,,,,,,,,,,,,,,,,
9,38.75,1,5000,9,39.13,0,,,,,,,,,,,,,,,,,,,,,
10,38.73,1,5000,10,39.13,0,,,,,,,,,,,,,,,,,,,,,
11,38.68,1,5000,11,39.25,0,,,,,,,,,,,,,,,,,,,,,
12,38.67,1,5000,12,39.3,0,,,,,,,,,,,,,,,,,,,,,
13,38.67,1,5000,13,39.75,0,,,,,,,,,,,,,,,,,,,,,
14,38.69,1,5000,14,39.75,0,,,,,,,,,,,,,,,,,,,,,
,cores,Time 0,impl,,,,,cores,Time 0,impl,,,,,,,,,,,,,,,,,
5500,1,81.87,1,,,,6000,1,99.14,1,,,,,,,,,,,,,,,,,
5500,2,61.57,1,,,,6000,2,74.58,1,,,,,,,,,,,,,,,,,
5500,3,57.08,1,,,,6000,3,69.16,1,,,,,,,,,,,,,,,,,
5500,4,55.45,1,,,,6000,4,67.15,1,,,,,,,,,,,,,,,,,
5500,5,54.67,1,,,,6000,5,66.33,1,,,,,,,,,,,,,,,,,
5500,6,54.28,1,,,,6000,6,65.81,1,,,,,,,,,,,,,,,,,
5500,7,53.98,1,,,,6000,7,65.42,1,,,,,,,,,,,,,,,,,
5500,8,53.83,1,,,,6000,8,65.22,1,,,,,,,,,,,,,,,,,
5500,9,53.74,1,,,,6000,9,65.17,1,,,,,,,,,,,,,,,,,
5500,10,53.68,1,,,,6000,10,65.08,1,,,,,,,,,,,,,,,,,
5500,11,53.7,1,,,,6000,11,65.05,1,,,,,,,,,,,,,,,,,
5500,12,53.67,1,,,,6000,12,65.05,1,,,,,,,,,,,,,,,,,
5500,13,53.68,1,,,,6000,13,65.05,1,,,,,,,,,,,,,,,,,
5500,14,53.7,1,,,,6000,14,65.12,1,,,,,,,,,,,,,,,,,
