vars,cores,time 1,impl,vars,cores,time 2,impl,vars,cores,time 4,impl,vars,cores,time 6,impl,vars,cores,time 8,impl
900,1,0.5,0,900,2,0.37,0,900,4,0.33,0,900,6,0.31,0,900,8,0.32,0
1000,1,0.62,0,1000,2,0.46,0,1000,4,0.42,0,1000,6,0.4,0,1000,8,0.41,0
1100,1,0.79,0,1100,2,0.58,0,1100,4,0.53,0,1100,6,0.51,0,1100,8,0.52,0
1200,1,0.97,0,1200,2,0.72,0,1200,4,0.66,0,1200,6,0.64,0,1200,8,0.64,0
1300,1,1.15,0,1300,2,0.86,0,1300,4,0.79,0,1300,6,0.76,0,1300,8,0.77,0
1400,1,1.36,0,1400,2,1.02,0,1400,4,0.94,0,1400,6,0.91,0,1400,8,0.91,0
1500,1,1.57,0,1500,2,1.18,0,1500,4,1.08,0,1500,6,1.05,0,1500,8,1.06,0
1800,1,2.32,0,1800,2,1.76,0,1800,4,1.62,0,,,,,1800,8,1.58,0
2300,1,5.02,0,2300,2,3.79,0,2300,4,3.49,0,2300,6,3.39,0,2300,8,3.42,0
2500,1,5.92,0,2500,2,4.48,0,2500,4,4.13,0,2500,6,4.01,0,2500,8,4.05,0
3000,1,8.75,0,3000,2,6.66,0,3000,4,6.12,0,3000,6,5.97,0,3000,8,6.02,0
3200,1,12.02,0,3200,2,9.13,0,3200,4,8.39,0,3200,6,8.16,0,3200,8,8.22,0
3600,,,,,2,11.78,0,3600,4,10.82,0,3600,6,10.51,0,3600,8,10.6,0
3800,,,,,,,,,,,,3800,6,11.81,0,3800,8,11.92,0
4000,,,,,,,,4000,4,13.63,0,4000,6,13.31,0,4000,8,13.41,0
vars,cores,time 1,impl
900,1,0.51,1
1000,1,0.62,1
1100,1,0.79,1
1200,1,0.97,1
1300,1,1.15,1
1400,1,1.36,1
1500,1,1.57,1
1800,1,2.33,1
2300,1,5.03,1
2500,1,5.93,1
3000,1,8.75,1

vars,cores,time 2,impl
900,2,0.36,1
1000,2,0.46,1
1100,2,0.58,1
1200,2,0.72,1
1300,2,0.86,1
1400,2,1.02,1
1500,2,1.18,1
1800,2,1.76,1
2300,2,3.79,1
2500,2,4.48,1
3000,2,6.67,1
3200,2,9.13,1
3800,2,13.20,1

vars,cores,time 4,impl
900,4,0.31,1
1000,4,0.40,1
1100,4,0.52,1
1200,4,0.64,1
1300,4,0.77,1
1400,4,0.91,1
1500,4,1.06,1
1800,4,1.59,1
2300,4,3.43,1
2500,4,4.05,1
3000,4,6.03,1
3200,4,8.24,1
vars,cores,time 4,impl
900,4,0.32,1
1000,4,0.40,1
1100,4,0.52,1
1200,4,0.64,1
1300,4,0.77,1
1400,4,0.91,1
1500,4,1.06,1
1800,4,1.58,1
2300,4,3.43,1
2500,4,4.05,1
3000,4,6.03,1
3200,4,8.24,1
3600,4,10.63,1
3800,4,11.94,1
4000,4,13.43,1

vars,cores,time 6,impl
900,6,0.30,1
1000,6,0.39,1
1100,6,0.50,1
1200,6,0.62,1
1300,6,0.75,1
1400,6,0.89,1
1500,6,1.03,1
1800,6,1.55,1
2300,6,3.35,1
2500,6,3.97,1
3000,6,5.91,1
3200,6,8.07,1
3800,6,11.69,1
4000,6,13.17,1

vars,cores,time 8,impl
900,8,0.30,1
1000,8,0.39,1
1100,8,0.50,1
1200,8,0.62,1
1300,8,0.74,1
1400,8,0.88,1
1500,8,1.02,1
1800,8,1.54,1
2300,8,3.33,1
2500,8,3.94,1
3000,8,5.88,1
3200,8,8.01,1
4000,8,13.08,1

vars,cores,time 4,impl
900,4,0.55,1
1000,4,0.70,1
1100,4,0.87,1
1200,4,1.06,1
1300,4,1.27,1
1400,4,1.49,1
1500,4,1.72,1
1800,4,2.57,1
2300,4,5.35,1
2500,4,6.38,1
3000,4,9.57,1
3200,4,12.81,1
3600,4,16.66,1
3800,4,18.61,1
4000,4,21.28,1

vars,cores,time 6,impl
900,6,0.54,1
1000,6,0.68,1
1100,6,0.85,1
1200,6,1.04,1
1300,6,1.24,1
1400,6,1.46,1
1500,6,1.68,1
1800,6,2.51,1
2300,6,5.24,1
2500,6,6.24,1
3000,6,9.36,1
3200,6,12.54,1
3600,6,16.29,1
3800,6,18.22,1
4000,6,20.81,1

vars,cores,time 8,impl
900,8,0.53,1
1000,8,0.68,1
1100,8,0.85,1
1200,8,1.03,1
1300,8,1.23,1
1400,8,1.45,1
1500,8,1.67,1
1800,8,2.49,1
2300,8,5.20,1
2500,8,6.20,1
3000,8,9.29,1
3200,8,12.44,1
3600,8,16.17,1
3800,8,18.08,1
4000,8,20.67,1

