size,time cpu,size,time 1,time 2,time 4,time 8
900,0.19,900,0.82,0.61,0.54,0.53
1000,0.29,1000,1.04,0.78,0.7,0.68
1100,0.41,1100,1.29,0.97,0.87,0.84
1200,0.57,1200,1.56,1.17,1.05,1.02
1400,1.01,1400,2.17,1.63,1.47,1.43
1500,1.29,1500,2.5,1.88,1.7,1.65
1800,2.48,1800,3.74,2.82,2.53,2.46
2000,3.46,,,,,
2200,4.69,,,,,
,,2300,7.86,5.91,5.32,5.17
,,2500,9.4,7.06,6.36,6.17
2600,7.91,,,,,
3000,12.29,3000,13.98,10.52,9.47,9.2
3200,14.84,3200,18.82,14.18,12.75,12.38
3600,21.26,3600,24.46,18.39,16.57,16.08
3800,25.11,3800,27.29,20.54,18.5,17.96
4200,34.06,4200,39.7,29.85,26.86,26.09
4500,41.86,4500,46.17,34.73,31.26,30.36
