size, cores,time impl 0,time impl 1,Speedup 0,Speedup 1,reciprocal,linear approximation
5500,1,81.41,81.43,1,1,0.0354484225,0
5500,2,61.24,61.24,1.3293598955,1.3296864794,0.1246882793,0.51
5500,3,56.77,56.78,1.4340320592,1.4341317365,0.2808988764,1.02
5500,4,56.28,55.13,1.4465174129,1.4770542354,0.5235602094,1.53
5500,5,54.68,54.37,1.4888441843,1.497700938,0.8695652174,2.04
5500,6,54.62,53.97,1.4904796778,1.5088011858,1.3333333333,2.55
5500,7,55.06,53.69,1.478568834,1.5166697709,2.1276595745,3.06
5500,8,55.1,53.53,1.4774954628,1.5212030637,3.2258064516,3.57
5500,9,53.95,53.44,1.5089898054,1.5237649701,4.5454545455,4.08
5500,10,54,53.39,1.5075925926,1.5251919835,5.8823529412,4.59
5500,11,54.18,53.38,1.5025839793,1.525477707,6.25,5.1
5500,12,54.27,53.38,1.5000921319,1.525477707,6.25,5.61
5500,13,54.82,53.38,1.4850419555,1.525477707,6.25,6.12
5500,14,54.83,53.36,1.4847711107,1.5260494753,7.1428571429,6.63
