size,time 1,time 2,time 4,time 8,time 10,time 12,time 14
900,0.82,0.61,0.54,0.53,0.53,0.52,0.52
1000,1.04,0.78,0.7,0.68,0.67,0.67,0.67
1100,1.29,0.97,0.87,0.84,0.84,0.84,0.84
1200,1.56,1.17,1.05,1.02,1.02,1.01,1.01
1300,1.85,1.39,1.25,1.21,1.21,1.21,1.21
1400,2.17,1.63,1.47,1.43,1.42,1.42,1.42
1500,2.5,1.88,1.7,1.65,1.64,1.64,1.64
1800,3.74,2.82,2.53,2.46,2.45,2.45,2.45
2300,7.86,5.91,5.32,5.17,5.15,5.15,5.15
2500,9.4,7.06,6.36,6.17,6.15,6.15,6.14
3000,13.98,10.52,9.47,9.2,9.17,9.16,9.16
3200,18.82,14.18,12.75,12.38,12.35,12.34,12.33
3600,24.46,18.39,16.57,16.08,16.05,16.03,16.03
3800,27.29,20.54,18.5,17.96,17.93,17.92,17.9
4200,39.7,29.85,26.86,26.09,26,26,25.99
4500,46.17,34.73,31.26,30.36,30.29,30.27,30.25
