impl0 static cores
size,window,cores,average_gpu,average_cpu,impl,seed
10000000,10,8,14.97,13.21,0,1561064432
20000000,10,8,31.97,30.45,0,1561064479
40000000,10,8,53.69,52.79,0,1561064583
impl0 static cores
size,window,cores,average_gpu,average_cpu,impl,seed
10000000,10,8,13.05,13.27,0,1561065463
20000000,10,8,27.84,26.32,0,1561065505
40000000,10,8,53.70,52.79,0,1561065592
60000000,10,8,79.64,79.04,0,1561065760
80000000,10,8,105.36,105.33,0,1561066041
100000000,10,8,131.56,132.07,0,1561066387

10000000,20,8,15.25,13.53,0,1561066801
20000000,20,8,27.91,26.46,0,1561066849
40000000,20,8,53.68,52.71,0,1561066936
60000000,20,8,79.79,79.16,0,1561067103
80000000,20,8,105.63,105.75,0,1561067351
100000000,20,8,131.39,132.01,0,1561067691

10000000,30,8,14.97,13.27,0,1561068109
20000000,30,8,27.92,26.45,0,1561068155
40000000,30,8,53.78,52.83,0,1561068243
60000000,30,8,79.57,79.15,0,1561068410
80000000,30,8,105.48,105.17,0,1561068657
100000000,30,8,133.95,134.53,0,1561068987

10000000,40,8,14.93,13.18,0,1561069414
20000000,40,8,27.86,26.36,0,1561069461
40000000,40,8,53.77,52.80,0,1561069548
60000000,40,8,79.77,79.25,0,1561069714
80000000,40,8,105.57,105.70,0,1561069962
100000000,40,8,131.18,131.51,0,1561070295

10000000,60,8,14.92,13.21,0,1561070708
20000000,60,8,27.92,26.40,0,1561070755
40000000,60,8,53.71,52.76,0,1561070841
60000000,60,8,79.53,79.12,0,1561071008
80000000,60,8,105.35,105.34,0,1561071256
100000000,60,8,131.21,131.74,0,1561071584

10000000,100,8,14.94,13.23,0,1561071997
20000000,100,8,27.88,26.36,0,1561072044
40000000,100,8,53.74,52.64,0,1561072130
60000000,100,8,79.74,79.13,0,1561072297
80000000,100,8,105.58,105.58,0,1561072544
100000000,100,8,131.52,131.88,0,1561072876

10000000,150,8,14.92,13.20,0,1561073291
20000000,150,8,27.89,26.42,0,1561073338
40000000,150,8,53.87,52.77,0,1561073425
60000000,150,8,79.73,79.19,0,1561073592
80000000,150,8,105.46,105.54,0,1561073840
100000000,150,8,131.40,131.91,0,1561074170

10000000,200,8,14.94,13.23,0,1561074585
20000000,200,8,27.88,26.42,0,1561074632
40000000,200,8,53.71,52.66,0,1561074719
60000000,200,8,79.56,78.98,0,1561074886
80000000,200,8,105.57,105.46,0,1561075132
100000000,200,8,131.54,132.16,0,1561075463

